Date,demand,stock_level,stockout,ordered
2010-03-07,10876,312051,0,0
2010-03-08,13876,298175,0,0
2010-03-09,11984,286191,0,0
2010-03-10,17302,268889,0,0
2010-03-11,13706,255183,0,0
2010-03-12,10586,244597,0,0
2010-03-13,0,244597,0,0
2010-03-14,4927,239670,0,0
2010-03-15,13990,225680,0,0
2010-03-16,12256,213424,0,0
2010-03-17,78565,134859,0,41106
2010-03-18,20574,114285,0,41106
2010-03-19,12780,101505,0,41106
2010-03-20,0,101505,0,41106
2010-03-21,12262,89243,0,41106
2010-03-22,12051,77192,0,41106
2010-03-23,54157,23035,0,41106
2010-03-24,13663,50478,0,41106
2010-03-25,16603,74981,0,41106
2010-03-26,20215,95872,0,41106
2010-03-27,0,136978,0,41106
2010-03-28,14517,163567,0,0
2010-03-29,18251,186422,0,0
2010-03-30,18224,209304,0,0
2010-03-31,12506,237904,0,0
2010-04-01,16895,262115,0,0
2010-04-02,0,303221,0,0
2010-04-03,0,344327,0,0
2010-04-04,0,344327,0,0
2010-04-05,0,344327,0,0
2010-04-06,12715,331612,0,0
2010-04-07,22970,308642,0,0
2010-04-08,25830,282812,0,0
2010-04-09,8676,274136,0,0
2010-04-10,0,274136,0,0
2010-04-11,11585,262551,0,0
2010-04-12,12188,250363,0,0
2010-04-13,14373,235990,0,0
2010-04-14,16322,219668,0,0
2010-04-15,10700,208968,0,0
2010-04-16,14781,194187,0,0
2010-04-17,0,194187,0,0
2010-04-18,12961,181226,0,0
2010-04-19,14564,166662,0,0
2010-04-20,12416,154246,0,41106
2010-04-21,11566,142680,0,41106
2010-04-22,21229,121451,0,41106
2010-04-23,9829,111622,0,41106
2010-04-24,0,111622,0,41106
2010-04-25,8380,103242,0,41106
2010-04-26,17979,85263,0,41106
2010-04-27,22759,103610,0,41106
2010-04-28,19058,125658,0,41106
2010-04-29,16370,150394,0,41106
2010-04-30,16441,175059,0,0
2010-05-01,0,216165,0,0
2010-05-02,6296,250975,0,0
2010-05-03,0,292081,0,0
2010-05-04,10501,322686,0,0
2010-05-05,14814,348978,0,0
2010-05-06,30422,359662,0,0
2010-05-07,22834,336828,0,0
2010-05-08,0,336828,0,0
2010-05-09,11825,325003,0,0
2010-05-10,14734,310269,0,0
2010-05-11,17134,293135,0,0
2010-05-12,21360,271775,0,0
2010-05-13,26351,245424,0,0
2010-05-14,13848,231576,0,0
2010-05-15,0,231576,0,0
2010-05-16,11028,220548,0,0
2010-05-17,13483,207065,0,0
2010-05-18,21947,185118,0,0
2010-05-19,9421,175697,0,0
2010-05-20,15470,160227,0,41106
2010-05-21,9052,151175,0,41106
2010-05-22,0,151175,0,41106
2010-05-23,13755,137420,0,41106
2010-05-24,32351,105069,0,41106
2010-05-25,14606,90463,0,41106
2010-05-26,18023,72440,0,41106
2010-05-27,17496,96050,0,41106
2010-05-28,12005,125151,0,41106
2010-05-29,0,166257,0,0
2010-05-30,6204,201159,0,0
2010-05-31,0,242265,0,0
2010-06-01,7769,275602,0,0
2010-06-02,11289,305419,0,0
2010-06-03,16947,329578,0,0
2010-06-04,6389,364295,0,0
2010-06-05,0,364295,0,0
2010-06-06,14079,350216,0,0
2010-06-07,28736,321480,0,0
2010-06-08,25001,296479,0,0
2010-06-09,24843,271636,0,0
2010-06-10,9677,261959,0,0
2010-06-11,20517,241442,0,0
2010-06-12,0,241442,0,0
2010-06-13,10942,230500,0,0
2010-06-14,15586,214914,0,0
2010-06-15,18633,196281,0,0
2010-06-16,18495,177786,0,0
2010-06-17,12892,164894,0,0
2010-06-18,9315,155579,0,41106
2010-06-19,0,155579,0,41106
2010-06-20,4487,151092,0,41106
2010-06-21,11305,139787,0,41106
2010-06-22,6355,133432,0,41106
2010-06-23,15489,117943,0,41106
2010-06-24,9410,108533,0,41106
2010-06-25,6502,143137,0,41106
2010-06-26,0,184243,0,0
2010-06-27,10851,214498,0,0
2010-06-28,33808,221796,0,0
2010-06-29,20301,242601,0,0
2010-06-30,20254,263453,0,0
2010-07-01,16217,288342,0,0
2010-07-02,8599,320849,0,0
2010-07-03,0,320849,0,0
2010-07-04,5302,315547,0,0
2010-07-05,16155,299392,0,0
2010-07-06,11148,288244,0,0
2010-07-07,13410,274834,0,0
2010-07-08,11697,263137,0,0
2010-07-09,13024,250113,0,0
2010-07-10,0,250113,0,0
2010-07-11,5711,244402,0,0
2010-07-12,8861,235541,0,0
2010-07-13,8822,226719,0,0
2010-07-14,12055,214664,0,0
2010-07-15,27673,186991,0,0
2010-07-16,14039,172952,0,0
2010-07-17,0,172952,0,0
2010-07-18,9382,163570,0,0
2010-07-19,18120,145450,0,41106
2010-07-20,11707,133743,0,41106
2010-07-21,12555,121188,0,41106
2010-07-22,13161,108027,0,41106
2010-07-23,12828,95199,0,41106
2010-07-24,0,95199,0,41106
2010-07-25,11531,83668,0,41106
2010-07-26,14216,110558,0,41106
2010-07-27,14179,137485,0,41106
2010-07-28,13351,165240,0,0
2010-07-29,12799,193547,0,0
2010-07-30,8090,226563,0,0
2010-07-31,0,267669,0,0
2010-08-01,9702,299073,0,0
2010-08-02,11762,328417,0,0
2010-08-03,15479,354044,0,0
2010-08-04,10923,343121,0,0
2010-08-05,16453,326668,0,0
2010-08-06,9731,316937,0,0
2010-08-07,0,316937,0,0
2010-08-08,8116,308821,0,0
2010-08-09,100084,208737,0,0
2010-08-10,18426,190311,0,0
2010-08-11,7532,182779,0,0
2010-08-12,17702,165077,0,0
2010-08-13,12562,152515,0,41106
2010-08-14,0,152515,0,41106
2010-08-15,16575,135940,0,41106
2010-08-16,10076,125864,0,41106
2010-08-17,18060,107804,0,41106
2010-08-18,22420,85384,0,41106
2010-08-19,22152,63232,0,41106
2010-08-20,18521,85817,0,41106
2010-08-21,0,126923,0,41106
2010-08-22,13884,154145,0,41106
2010-08-23,12896,182355,0,0
2010-08-24,18872,204589,0,0
2010-08-25,17238,228457,0,0
2010-08-26,16961,252602,0,0
2010-08-27,6611,287097,0,0
2010-08-28,0,328203,0,0
2010-08-29,8766,360543,0,0
2010-08-30,0,360543,0,0
2010-08-31,11038,349505,0,0
2010-09-01,11835,337670,0,0
2010-09-02,21102,316568,0,0
2010-09-03,30598,285970,0,0
2010-09-04,0,285970,0,0
2010-09-05,7222,278748,0,0
2010-09-06,14951,263797,0,0
2010-09-07,14936,248861,0,0
2010-09-08,9924,238937,0,0
2010-09-09,12862,226075,0,0
2010-09-10,9905,216170,0,0
2010-09-11,0,216170,0,0
2010-09-12,9278,206892,0,0
2010-09-13,27446,179446,0,0
2010-09-14,11071,168375,0,0
2010-09-15,21295,147080,0,41106
2010-09-16,14409,132671,0,41106
2010-09-17,11401,121270,0,41106
2010-09-18,0,121270,0,41106
2010-09-19,13649,107621,0,41106
2010-09-20,24263,83358,0,41106
2010-09-21,35197,48161,0,41106
2010-09-22,14065,75202,0,41106
2010-09-23,20697,95611,0,41106
2010-09-24,27622,109095,0,41106
2010-09-25,0,150201,0,41106
2010-09-26,13359,177948,0,0
2010-09-27,124721,94333,0,41106
2010-09-28,22204,113235,0,41106
2010-09-29,20250,134091,0,41106
2010-09-30,22891,152306,0,41106
2010-10-01,21567,171845,0,0
2010-10-02,0,212951,0,0
2010-10-03,20272,192679,0,0
2010-10-04,22556,211229,0,0
2010-10-05,34051,218284,0,0
2010-10-06,21523,237867,0,0
2010-10-07,28267,250706,0,0
2010-10-08,39626,211080,0,0
2010-10-09,0,211080,0,0
2010-10-10,12412,198668,0,0
2010-10-11,23986,174682,0,0
2010-10-12,28703,145979,0,41106
2010-10-13,39725,106254,0,41106
2010-10-14,37066,69188,0,41106
2010-10-15,20610,48578,0,41106
2010-10-16,0,48578,0,41106
2010-10-17,18342,30236,0,41106
2010-10-18,18509,11727,0,41106
2010-10-19,26330,26503,0,41106
2010-10-20,23589,44020,0,41106
2010-10-21,15231,69895,0,41106
2010-10-22,21524,89477,0,41106
2010-10-23,0,130583,0,41106
2010-10-24,15444,156245,0,41106
2010-10-25,14106,183245,0,0
2010-10-26,25020,199331,0,0
2010-10-27,15563,224874,0,0
2010-10-28,13564,252416,0,0
2010-10-29,22499,271023,0,0
2010-10-30,0,312129,0,0
2010-10-31,16347,336888,0,0
2010-11-01,12325,324563,0,0
2010-11-02,23626,300937,0,0
2010-11-03,23025,277912,0,0
2010-11-04,58902,219010,0,0
2010-11-05,19838,199172,0,0
2010-11-06,0,199172,0,0
2010-11-07,18341,180831,0,0
2010-11-08,18193,162638,0,41106
2010-11-09,32781,129857,0,41106
2010-11-10,33426,96431,0,41106
2010-11-11,33217,63214,0,41106
2010-11-12,20025,43189,0,41106
2010-11-13,0,43189,0,41106
2010-11-14,16462,26727,0,41106
2010-11-15,21740,46093,0,41106
2010-11-16,37378,49821,0,41106
2010-11-17,27327,63600,0,41106
2010-11-18,19353,85353,0,41106
2010-11-19,23892,102567,0,41106
2010-11-20,0,143673,0,41106
2010-11-21,17985,166794,0,0
2010-11-22,16898,191002,0,0
2010-11-23,24919,207189,0,0
2010-11-24,24336,223959,0,0
2010-11-25,36908,228157,0,0
2010-11-26,14797,254466,0,0
2010-11-27,0,295572,0,0
2010-11-28,16290,279282,0,0
2010-11-29,36434,242848,0,0
2010-11-30,24650,218198,0,0
2010-12-01,24114,194084,0,0
2010-12-02,31077,163007,0,0
2010-12-03,11798,151209,0,41106
2010-12-04,0,151209,0,41106
2010-12-05,16241,134968,0,41106
2010-12-06,16115,118853,0,41106
2010-12-07,19404,99449,0,41106
2010-12-08,21497,77952,0,41106
2010-12-09,17383,60569,0,41106
